;;;Context Match;;;;Repetitions;;;;100%;;;;95% - 99%;;;;85% - 94%;;;;75% - 84%;;;;50% - 74%;;;;No Match;;;;Total
File;Tagging Errors;Chars/Word;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Percent;Segments;Words;Placeables;Characters
"TomFord.JSON | cs_cz>da_dk";0;5.85;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>da_dk";0;5.16;0;0;0;0;0;0;0;0;2;0.5;0;0.43;1;9;0;7.79;0;0;0;0;0;0;0;0;1;14;0;12.12;5;92;0;79.65;9;115.5;0;593.5
"BlackOrchidParfum.JSON | cs_cz>da_dk";0;5.83;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>da_dk";0;5.54;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>el_gr";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>el_gr";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>el_gr";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>el_gr";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>et_ee";0;5.85;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>et_ee";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>et_ee";0;5.83;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>et_ee";0;5.54;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>fr_be";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>fr_be";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>fr_be";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>fr_be";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>fr_fr";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>fr_fr";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>fr_fr";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>fr_fr";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>lv_lv";0;5.85;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>lv_lv";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>lv_lv";0;5.83;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>lv_lv";0;5.54;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>pt_pt";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>pt_pt";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>pt_pt";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>pt_pt";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>sl_si";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>sl_si";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>sl_si";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>sl_si";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>sv_se";0;5.85;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>sv_se";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>sv_se";0;5.83;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>sv_se";0;5.54;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
"TomFord.JSON | cs_cz>uk_ua";0;5.85;0.5;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;67;0;100;7;67;0;392
"noirExtreme.JSON | cs_cz>uk_ua";0;5.16;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;116;0;100;9.5;116;0;599
"BlackOrchidParfum.JSON | cs_cz>uk_ua";0;5.83;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;170;0;100;11;170;0;991
"BlackOrchid.JSON | cs_cz>uk_ua";0;5.54;0.5;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;167;0;100;11;167;0;926
